Latitud,Longitud,Station,Klimatnr,SwerefX,SwerefY,Höjd,Län,Landskap,jan,feb,mar,apr,maj,jun,jul,aug,sep,okt,nov,dec,år,start,slut,antal år
68.35,18.82,Abisko,188800,657030,7587173,393,Norrbottens län,Lappland,27.8,22.05,20.05,11.04,19.00,34.5,61.5,44.6,32.7,24.9,20.03,27.5,347.2,jan./1961,dec./2020,60.0
65.99,18.92,Abraur,158990,677900,7323877,368,Norrbottens län,Lappland,39.4,29.4,28.0,29.2,41.6,67.6,87.2,72.6,51.5,46.3,43.5,43.4,579.5,juli/1991,dec./2020,28.7
67.15,18.31,Aktse,178740,643211,7451888,530,Norrbottens län,Lappland,58.6,46.3,41.2,31.3,44.7,70.7,110.9,80.0,66.6,56.4,57.7,63.3,727.7,jan./1961,sep./1981,20.08
67.31,18.90,Aluokta,178790,667842,7471146,385,Norrbottens län,Lappland,39.9,32.0,28.1,25.0,41.7,68.8,106.4,74.7,62.2,44.6,44.3,46.5,614.4,nov./1969,sep./2003,33.4
66.05,17.84,Arjeplog A,167710,628587,7328545,431,Norrbottens län,Lappland,37.3,29.6,29.8,27.8,37.1,62.5,87.1,69.9,48.4,46.2,41.8,39.4,556.8,jan./1961,dec./2020,59.6
65.98,18.22,Arjeplog-Myrheden D,158980,646264,7321274,450,Norrbottens län,Lappland,41.8,32.4,30.5,30.4,40.1,67.7,94.0,78.6,55.8,49.4,44.3,43.1,608.1,aug./2000,dec./2020,20.04
65.59,19.26,Arvidsjaur A,159880,696489,7281326,382,Norrbottens län,Lappland,31.7,24.1,24.1,25.4,41.0,64.7,82.5,74.0,55.7,47.5,40.6,37.8,549.2,feb./1996,dec./2020,24.9
66.49,16.53,Ballastviken,166840,568306,7375367,470,Norrbottens län,Lappland,43.1,33.6,35.2,25.1,33.6,59.7,77.1,69.4,50.8,38.2,38.3,43.1,547.1,jan./1961,okt./2010,47.9
68.15,19.80,Bergfors,189740,699195,7567338,480,Norrbottens län,Lappland,31.3,24.7,22.03,21.09,40.1,62.9,99.6,68.0,51.4,40.5,33.1,33.7,529.4,jan./1961,mars/1972,10.08
65.67,18.15,Bergnäsudden,158900,644783,7286377,420,Norrbottens län,Lappland,40.4,30.8,29.0,28.1,38.8,61.0,85.0,74.0,50.4,48.0,45.6,42.8,573.8,jan./1961,maj/1975,12.07
67.40,18.72,Björkudden,178820,659294,7480252,376,Norrbottens län,Lappland,33.8,27.5,24.4,22.03,36.7,59.3,96.6,62.9,54.3,39.5,34.0,36.2,527.5,apr./2004,dec./2020,16.08
65.81,21.64,Boden Mo,161940,802881,7315200,25,Norrbottens län,Norrbotten,45.7,31.3,28.5,28.2,40.9,60.4,70.0,68.2,56.4,48.7,49.9,45.3,573.4,jan./1962,dec./2020,31.3
65.79,21.26,Brännberg D,161930,785838,7311056,93,Norrbottens län,Norrbotten,44.9,31.8,30.4,29.2,40.4,61.3,78.2,70.5,56.6,52.6,51.9,49.1,596.8,jan./1961,dec./2020,16.03
67.89,21.08,Esrange,181970,755160,7543247,321,Norrbottens län,Lappland,35.3,30.9,25.6,25.8,43.3,66.9,96.6,70.1,54.9,45.0,43.3,40.8,578.4,okt./1977,dec./2020,42.2
65.34,20.90,Fagerheden,160800,774515,7258913,220,Norrbottens län,Norrbotten,53.2,39.4,38.6,34.6,46.8,73.6,101.7,89.1,67.2,66.8,62.4,62.2,735.5,jan./1961,nov./2014,53.8
66.30,18.55,Gittun,168760,659168,7358012,410,Norrbottens län,Lappland,44.1,35.1,30.5,30.8,43.4,72.3,96.2,78.4,57.0,51.6,49.9,48.1,637.5,jan./1980,nov./2014,34.9
65.28,19.68,Glommersträsk,159770,718432,7247371,394,Norrbottens län,Lappland,52.3,39.2,38.3,36.8,46.7,72.7,95.5,80.6,65.1,61.4,59.2,57.9,705.8,jan./1961,dec./2020,58.3
67.12,21.82,Granhult,181740,795313,7461146,270,Norrbottens län,Lappland,36.5,30.4,28.6,28.4,39.2,64.5,85.3,70.6,58.3,45.5,48.4,43.3,579.2,nov./1994,dec./2020,23.00
